Serial ,Date,User,Tweet
0,2022-12-31 10:35:55+00:00,flyingbeast320,"आप सभी का नव वर्ष मंगलमय हो ।
#happyNewYear2023"
1,2022-12-30 06:29:55+00:00,flyingbeast320,Praying for a speedy recovery @RishabhPant17 . Our prayers are with you. 🙏
2,2022-12-18 19:23:29+00:00,flyingbeast320,@adityaranjan127 Civil Eng and now Law
3,2022-12-15 19:28:56+00:00,flyingbeast320,@Hhjpht1 Padh le bhai
4,2022-12-14 09:46:04+00:00,flyingbeast320,"Pujara , standing like a Wall
#INDvsBangladesh"
5,2022-11-26 09:56:06+00:00,flyingbeast320,"NEVER FORGET NEVER FORGIVE 
26/11
Some channels doing ground report that day, have blood on their hands."
6,2022-11-22 11:46:21+00:00,flyingbeast320,Elon bhai din ka kitna ghanta Twitter chalate hai ??
7,2022-11-20 16:04:48+00:00,flyingbeast320,@RaviJai95155726 @djsnake Much log crowd mein ‘been’ lekar bhi aaye the.. 🐍
8,2022-11-20 14:07:29+00:00,flyingbeast320,"Planned wife’s birthday at @djsnake ‘s concert.
What a sweet human being.
Us din se jayada bheed thi… Auur koi arrest bhi nahi hua .. isse kehte hai surprise !!! https://t.co/ZYvuD6xMSS"
9,2022-11-20 12:02:42+00:00,flyingbeast320,Donald trump account restored by Elon after the poll 🥸
10,2022-11-18 08:09:26+00:00,flyingbeast320,@Sushant_Kaushal Surprise dena hai… zindagi barbaad nahi karni…
11,2022-11-18 05:01:00+00:00,flyingbeast320,Kal wife ka birthday hai… koi surprise suggest karo same level ka ..
12,2022-11-17 10:04:33+00:00,flyingbeast320,"Must watch film 

https://t.co/KEGKynewX8

@prachyam7"
13,2022-11-15 10:08:02+00:00,flyingbeast320,"Yeh Suitcase auur Fridge se, ab darr lagne laga hai…"
14,2022-11-13 11:30:44+00:00,flyingbeast320,Ben Stokes !! Kya khelta hai Ben Stokes ..
15,2022-11-13 09:49:45+00:00,flyingbeast320,"But they have a solid bowling attack… 
Asli maza ab aayega… Eng batting vs Pak bowling.."
16,2022-11-13 09:49:11+00:00,flyingbeast320,"I think Pak Ka Game over…
.
Yeh match jeetna hi tha… kisi Auur ke haarne se aaj aage nahi jaa sakte..
#EngvsPak"
17,2022-11-11 04:19:10+00:00,flyingbeast320,Aaj #INDvsENG wala Vlog daalunga… Vlog mein editing karke jitwa diya hai India ko !!
18,2022-11-10 12:36:49+00:00,flyingbeast320,"Real emotions right now..
#INDvsENG #T20Iworldcup2022 https://t.co/uqBH63FFBa"
19,2022-11-10 12:24:41+00:00,flyingbeast320,"Aaj jo hua…. Bhula nahi payenge… 
#INDvsENG https://t.co/RnFDe9dtyA"
20,2022-11-10 11:15:23+00:00,flyingbeast320,दुख दर्द पीढ़ा https://t.co/olJrzadCFZ
21,2022-11-10 11:00:59+00:00,flyingbeast320,"Dear @airindiain please date change penalty mat lagana… 🙏
Prepone karna hai tkt…"
22,2022-11-10 10:53:04+00:00,flyingbeast320,Ab Pak se haarne ki chances NIL hai..
23,2022-11-10 10:34:45+00:00,flyingbeast320,Bhai final ki VVIP ticket hai… kisi ko chahiye to bata dena…
24,2022-11-10 10:29:40+00:00,flyingbeast320,Adelaide Hotel walo se request… paisa na kaate… seedha yahi se airport nikal lunga…
25,2022-11-10 10:22:53+00:00,flyingbeast320,Just came to Adelaide this afternoon … paisa barbaad shayad …
26,2022-11-08 20:56:36+00:00,flyingbeast320,@kushagra_rajwar @chintamani0d Ashwin bhai engineer hai.. this technique lets you sail thru 4 yes of b tech.
27,2022-11-08 20:43:46+00:00,flyingbeast320,"Earthquake in delhi.. upar ki floors mein rahne wale give up hi kar dete hai…
#earthquake https://t.co/B601NuuQq8"
28,2022-11-08 09:59:17+00:00,flyingbeast320,T20 WC final predictions ??
29,2022-11-06 16:06:47+00:00,flyingbeast320,"When TTE comes to check your ticket !! 
#Jugaad #T20WorldCup @ICC https://t.co/A5F4XZl97Y"
30,2022-11-06 14:20:50+00:00,flyingbeast320,#T20WorldCup https://t.co/6YJD9PDk4O
31,2022-11-06 09:38:54+00:00,flyingbeast320,"Surya 360 kumar 
#INDvsZIM"
32,2022-11-06 09:22:42+00:00,flyingbeast320,"Reels banane ki chool, creators se jayada to @ICC ko hai..
#T20WorldCup"
33,2022-11-06 09:20:11+00:00,flyingbeast320,"Surya ko jotish vidya ka gyan bhi hai kya..
How the hell he comes into position so soon ?? #INDvsZIM"
34,2022-11-06 09:09:21+00:00,flyingbeast320,"Shayad Sydney ki ticket sasti mil rahi hai..India ya wahi man hai semi khelne ka
#INDvsZIM"
35,2022-11-05 13:58:41+00:00,flyingbeast320,Happy birthday to the man @imVkohli  who gave ‘Ben Stokes’ a real meaning. https://t.co/o9cZpSze2Q
36,2022-10-30 16:56:25+00:00,flyingbeast320,"Khud ke pass hone se jayada khushi ,
Padosi ke fail hone pe hoti hai..
#T20worldcup22 #INDvsSA https://t.co/PyibQGpfKQ"
37,2022-10-30 14:17:46+00:00,flyingbeast320,"Aaj pata nahi kyu Boomrah ki bahut yaad aa rahi hai !! 
#INDvsSA"
38,2022-10-30 14:03:39+00:00,flyingbeast320,Stadium mein sanaata hai .. #INDvsSA
39,2022-10-30 11:51:12+00:00,flyingbeast320,"Indian Fans right now @ICC 
#T20WC2022 #INDvSA https://t.co/zEOgVibenz"
40,2022-10-27 15:32:52+00:00,flyingbeast320,Pakistani fans- BC ..tv to saare 23 ko hi tod diye the… aaj kya karna hai ..
41,2022-10-27 15:21:14+00:00,flyingbeast320,Dukh… dard… peeda..#PAKvsZIM
